Key,English (United States)(en-US),Chinese (Simplified)(zh-CN)
"GameEditorName","Game Editor","游戏编辑器"
"slate_gray","Slate Gray","石板灰"
"black","Black","黑色"
"light_black","Light Black","浅黑"
"dark_slate_gray","Dark Slate Gray","深石板灰"
"dark_grey","Dark Grey","深灰色"
"dim_gray","Dim Gray","暗灰色"
"gray","Gray","灰色"
"light_gray","Light Gray","浅灰色"
"ghost_white","Ghost White","幽灵白"
"white","White","白色"
"spring_green","Spring Green","春绿色"
"light_green","Light Green","浅绿色"
"green_yellow","Green Yellow","黄绿色"
"sea_green","Sea Green","海绿色"
"olive_drab","Olive Drab","草绿色"
"dark_olive_green","Dark Olive Green","深橄榄绿"
"dark_green","Dark Green","深绿色"
"green","Green","绿色"
"brown","Brown","棕色"
"firebrick","Firebrick","砖红色"
"indian_red","Indian Red","印度红"
"maroon","Maroon","栗色"
"dark_red","Dark Red","深红色"
"red","Red","红色"
"turquoise","Turquoise","绿松石色"
"midnight_blue","Midnight Blue","午夜蓝"
"blue","Blue","蓝色"
"gold","Gold","金色"
"yellow","Yellow","黄色"
"light_sea_green","Light Sea Green","浅海绿色"
"dodger_blue","Dodger Blue","道奇蓝"
"deep_sky_blue","Deep Sky Blue","深天蓝色"
"sky_blue","Sky Blue","天蓝色"
"azure","Azure","蔚蓝色"
"aqua","Aqua","青色"
"medium_orchid","Medium Orchid","中兰花色"
"violet","Violet","紫罗兰色"
"plum","Plum","李子"
"slate_blue","Slate Blue","石板蓝"
"medium_purple","Medium Purple","中紫"
"purple","Purple","紫色"
"dark_magenta","Dark Magenta","深洋红"
"magenta","Magenta","品红"
"tomato","Tomato","番茄色"
"coral","Coral","珊瑚色"
"orange","Orange","橙色"
"hot_pink","Hot Pink","亮粉色"
"thistle","Thistle","蓟色"
"pink","Pink","粉色"
"wheat","Wheat","小麦色"
"AuxiliaryToolsCategoryName","Auxiliary Tools","辅助工具"
"GeneralSettingsCategoryName","General Settings","通用设置"
"EditorCategoryName","Editor","编辑器"
"CoreCategoryName","Core","核心"
"BuiltInCategoryName","Built-In","内置"
"ResourcesManagementCategoryName","Resources Management","资源管理"
"SaveButtonName","Save","保存"
"SaveAllButtonName","Save All","保存所有"
"OpenScriptButtonName","Open Script","打开脚本"
"OpenGamePrefabScriptButtonName","Open Game Prefab Script","打开GamePrefab脚本"
"OpenGameItemScriptButtonName","Open Game Item Script","打开GameItem脚本"